,year,type,activity,sex,age,fatal_y_n,time,species,latitude,longitude
5671,2022.0,Unprovoked,Other,M,Teenager,N,Other,Other,27.7567667,-81.4639835
5672,2022.0,Unprovoked,Wading,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
5673,2022.0,Unprovoked,Diving,M,Young Adult,N,Other,Bull shark,-25.2303005,121.0187246
5674,2022.0,Unprovoked,Kayaking,M,Others,N,Morning,Other,27.7567667,-81.4639835
5675,2021.0,Unprovoked,Swimming,M,Young Adult,N,Other,Other,-22.1646782,144.5844903
5676,2021.0,Unprovoked,Other,M,Others,N,Morning,Other,33.6874388,-80.4363743
5677,2021.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,-31.8759835,147.2869493
5679,2020.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,-25.2303005,121.0187246
5680,2019.0,Unprovoked,Surfing,M,Child,N,Other,Other,27.7567667,-81.4639835
5681,2019.0,Unprovoked,Wading,M,Child,N,Morning,Other,27.7567667,-81.4639835
5682,2019.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,35.6729639,-79.0392919
5683,2019.0,Unprovoked,Swimming,F,Teenager,N,Morning,Wobbegong shark,-25.2303005,121.0187246
5684,2018.0,Unprovoked,Swimming,M,Young Adult,Y,Evening,Other,-22.1646782,144.5844903
5685,2018.0,Unprovoked,Spearfishing,F,Young Adult,N,Noon,Other,26.3918096,-77.1370018
5686,2018.0,Unprovoked,Standing,M,Child,N,Noon,Other,27.7567667,-81.4639835
5687,2018.0,Unprovoked,Scuba diving,M,Young Adult,N,Morning,Tiger shark,5.52811005,-87.05976165965734
5688,2018.0,Unprovoked,Other,M,Young Adult,N,Morning,Other,19.593801499999998,-155.42837009716908
5689,2017.0,Unprovoked,Surfing,F,Middle-aged Adult,N,Evening,Tiger shark,19.593801499999998,-155.42837009716908
5690,2017.0,Unprovoked,Surfing,M,Others,N,Evening,Other,-25.2303005,121.0187246
5691,2017.0,Unprovoked,Surfing,M,Teenager,N,Evening,Other,27.7567667,-81.4639835
5692,2017.0,Unprovoked,Surfing,M,Others,N,Evening,Other,38.8950368,-77.0365427
5693,2017.0,Unprovoked,Swimming,M,Senior,N,Noon,Other,38.974390099999994,1.4197463178515335
5694,2017.0,Unprovoked,Surfing,M,Teenager,N,Evening,Other,-33.546977,20.72753
5695,2017.0,Watercraft,Fishing,M,Others,N,Other,Tiger shark,-28.503833,30.8875009
5696,2017.0,Unprovoked,Other,M,Others,N,Other,Other,27.7567667,-81.4639835
5697,2016.0,Unprovoked,Other,M,Young Adult,N,Evening,Other,27.7567667,-81.4639835
5698,2016.0,Unprovoked,Boogie boarding,F,Child,N,Other,Other,33.6874388,-80.4363743
5699,2016.0,Unprovoked,Spearfishing,M,Young Adult,N,Other,Other,36.7014631,-118.755997
5700,2016.0,Unprovoked,Floating,M,Senior,N,Noon,Other,19.593801499999998,-155.42837009716908
5701,2016.0,Unprovoked,Surfing,M,Others,N,Other,Wobbegong shark,-22.1646782,144.5844903
5702,2015.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
5703,2015.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,6' shark,-31.8759835,147.2869493
5704,2015.0,Unprovoked,Standing,M,Child,N,Other,Other,33.6874388,-80.4363743
5705,2015.0,Unprovoked,Surfing,M,Teenager,N,Morning,5' shark,27.7567667,-81.4639835
5706,2015.0,Unprovoked,Surfing,M,Teenager,Y,Morning,Bull shark,-21.0548416,55.2248423
5707,2015.0,Watercraft,Fishing,M,Others,N,Other,Other,-31.8759835,147.2869493
5708,2015.0,Unprovoked,Surfing,M,Middle-aged Adult,Y,Morning,Other,-31.8759835,147.2869493
5709,2015.0,Unprovoked,Other,M,Others,N,Other,Other,-31.8759835,147.2869493
5710,2014.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
5711,2014.0,Unprovoked,Swimming,F,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
5712,2014.0,Unprovoked,Body surfing,M,Teenager,N,Evening,4' to 5' shark,33.6874388,-80.4363743
5713,2014.0,Unprovoked,Standing,M,Teenager,N,Evening,Other,38.6920451,-75.4013315
5714,2013.0,Unprovoked,Wading,M,Child,N,Other,Other,27.7567667,-81.4639835
5715,2013.0,Unprovoked,Surfing,F,Others,N,Noon,White shark,36.7014631,-118.755997
5716,2013.0,Unprovoked,Other,M,Others,N,Other,Other,-30.29288855,153.12434318519155
5717,2013.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Noon,6' shark,26.3918096,-77.1370018
5718,2013.0,Unprovoked,Swimming,M,Teenager,N,Noon,4' to 5' shark,33.6874388,-80.4363743
5719,2013.0,Unprovoked,Surfing,M,Others,N,Other,Other,-32.2171831,26.6386401
5720,2013.0,Unprovoked,Surfing,F,Others,N,Other,Other,27.7567667,-81.4639835
5721,2013.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
5722,2013.0,Unprovoked,Swimming,F,Young Adult,N,Noon,Tiger shark,19.6666671,-88.5000001
5723,2013.0,Unprovoked,Surfing,M,Senior,N,Morning,4' shark,19.593801499999998,-155.42837009716908
5725,2012.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,-25.2303005,121.0187246
5726,2012.0,Unprovoked,Swimming,F,Middle-aged Adult,N,Morning,Other,27.7567667,-81.4639835
5727,2011.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
5728,2011.0,Watercraft,Canoeing,M,Middle-aged Adult,N,Morning,Other,-22.50522865,-55.7307551413271
5729,2011.0,Unprovoked,Spearfishing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
5730,2011.0,Unprovoked,Floating,M,Young Adult,N,Other,Other,18.2247706,-66.4858295
5731,2011.0,Watercraft,Other,M,Others,N,Evening,Other,-21.0548416,55.2248423
5732,2011.0,Unprovoked,Surf fishing,M,Others,N,Evening,Other,31.2638905,-98.5456116
5733,2011.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Other,Other,-28.503833,30.8875009
5734,2011.0,Unprovoked,Scuba diving,M,Middle-aged Adult,N,Noon,Other,26.6850232,-78.9647591
5735,2010.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,35.6729639,-79.0392919
5736,2010.0,Unprovoked,Standing,M,Teenager,N,Other,4' shark,33.6874388,-80.4363743
5737,2010.0,Unprovoked,Swimming,F,Senior,N,Evening,Other,14.0779378,108.9898798
5738,2010.0,Provoked,Boogie Boarding,F,Teenager,N,Evening,Other,-43.586562,171.21232939964904
5739,2010.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,-29.8425284,-53.7680577
5740,2009.0,Provoked,Spearfishing,M,Others,N,Other,Other,-20.35569395,-40.28820017262445
5742,2009.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
5743,2008.0,Provoked,Swimming,M,Middle-aged Adult,N,Noon,Other,-19.8516101,133.2303375
5744,2008.0,Unprovoked,Surfing,M,Young Adult,N,Morning,6' shark,27.7567667,-81.4639835
